run_id,lead_hours,pressure_hpa,baseline_mse,baseline_rmse,baseline_mean_bias,baseline_spatial_bias_energy,baseline_spatial_bias_energy_pct,baseline_centered_rmse,residual_mse,residual_rmse,residual_mean_bias,residual_spatial_bias_energy,residual_spatial_bias_energy_pct,residual_centered_rmse,mse_reduction,bias_removal_share_of_mse_reduction_pct
k2_w128_d16,12,5,92287970.15055668,9606.662799877837,-9531.263626727157,90845255.84756894,98.43672550102238,1201.1304271342628,1913889.5818745105,1383.433981755006,369.3244096024785,139340.76076940098,7.280501555002311,1332.121924264108,90374080.56868218,100.36717885928054
k2_w128_d16,12,7,36993971.684179164,6082.266985604888,-6026.266680526154,36316074.06491038,98.1675457151342,823.3453827336231,1229675.5987769242,1108.9073896304074,354.8704035457381,128143.7413160298,10.420938777957844,1049.538878489451,35764296.08540224,101.18451719888603
k2_w128_d16,12,10,8002678.44763375,2828.900572242466,-2777.46936376854,7714482.691328921,96.3987587631983,536.8386687868407,826680.666063874,909.2198117418438,257.19734665607274,67690.37430843276,8.188213065479218,871.2004888402217,7175997.781569876,106.56068396035121
k2_w128_d16,12,20,1857222.555750284,1362.7995288193654,1333.2210793843867,1777529.962478946,95.70904450710034,282.29876597558507,562540.1295918149,750.0267525840761,335.74481897237854,113522.19716556491,20.180284248865554,670.0880034937576,1294682.4261584692,128.5263267418219
k2_w128_d16,12,30,3218990.909985969,1794.1546505209546,1777.8443499207035,3160761.7561108824,98.19107429926416,241.30717742140658,634695.5615425952,796.677827947154,538.20544421203,290368.0152361083,45.74918005261981,586.7942964161181,2584295.3484433736,111.07065384781696
k2_w128_d16,12,500,1333.9803246639715,36.52369538620061,-6.793985393198511,47.68621053483824,3.574731175053152,35.86494268961172,85232.76979237564,291.9465187193977,-47.22756069117336,2280.6775114517072,2.675822359178713,288.01404875617425,-83898.78946771166,2.661529820732673
k2_w256_d16,6,1,924545601.990688,30406.341476584912,-30200.45185941862,912067519.1953796,98.65035507513733,3532.432985253678,8862374.341687562,2976.97402435553,-1416.3487529487227,2007449.8910383126,22.65137776448356,2618.191064580514,915683227.6490004,99.38590571773423
k2_w256_d16,6,2,430217429.3785183,20741.683378610287,-20594.500526289597,424133714.12418574,98.58589753950207,2466.518853431402,3156029.3437648914,1776.5216980844596,-484.6199842905917,236423.23734686084,7.4911609365718625,1708.6854907846648,427061400.0347534,99.25909736921739
k2_w256_d16,6,3,243639333.34701648,15608.950424260322,-15500.086817749434,240252948.29746366,98.61008277972523,1840.2133163176554,2167098.05404382,1472.1066721008435,-682.8044351605308,467499.22357154946,21.572592098414404,1303.6866304723196,241472235.29297265,99.30145748763456
k2_w256_d16,6,5,91763918.83166303,9579.348559879374,-9503.353396977544,90314095.54638709,98.42005081764701,1204.0860788481673,962188.0501890975,980.9118462884917,-19.873375168751483,1023.2568146654589,0.10634686374086226,980.3901230502233,90801730.78147393,99.46184011285256
k2_w256_d16,6,7,36772258.19758301,6064.013373796517,-6007.141206071455,36086080.89889717,98.13398107073299,828.3581946753771,655002.7277387568,809.3223880128096,203.26674584145437,41845.19695854091,6.388553083282818,783.043760450344,36117255.46984425,99.79782581218944
k2_w256_d16,6,10,7949690.1778048985,2819.5194941345767,-2765.4298404692563,7647992.366547191,96.20491107816967,549.2702533887194,420202.20290551474,648.2300539974328,236.28491171505664,56420.22430425246,13.426922542083606,603.1434146214831,7529487.974899383,100.82454700174198
k2_w256_d16,6,20,1858573.9164416054,1363.2952418466095,1331.664247461996,1773678.5947345828,95.43223323237196,291.3680176461083,257652.1005462506,507.5944252513522,349.83756769559915,122809.96169194487,47.665034141609695,367.2085767711665,1600921.8158953548,103.11987860065166
k2_w256_d16,6,30,3198044.405876105,1788.3076932888548,1771.6384137858515,3138977.4482837114,98.15302884838424,243.03694696978613,224552.51164560256,473.86972011894005,337.81884473348777,114425.48976864373,50.95711864013103,331.85391647072487,2973491.8942305027,101.71717516310159
k2_w256_d16,6,500,969.6078602178936,31.13852694360948,-7.165119071927976,57.46749339846608,5.926879902309351,30.201661656594784,15738.49679495529,125.45316574305843,-1.0881652162038502,10.241552142834097,0.06507325493827883,125.41234087127333,-14768.888934737397,-0.31976637825851256
k2_w256_d16,12,1,928983207.8949066,30479.225841463012,-30278.95304335229,916815389.4544196,98.6902003892988,3488.240020481282,10929228.642597646,3305.9383906234016,-1433.9200709424952,2079524.6684094945,19.02718605688567,2974.8452017185955,918053979.252309,99.63857087477567
k2_w256_d16,12,2,432513992.05668813,20796.970742314566,-20652.76805789168,426537222.54874283,98.61813268062737,2444.7432396767854,4313588.6468150355,2076.9180645405913,-563.0642777435778,327362.41058386903,7.589096628988465,1996.5535896216677,428200403.40987307,99.53513745996901
k2_w256_d16,12,3,245024436.16151917,15653.25640758239,-15545.87811624065,241674620.64100263,98.63286471627329,1830.2501251240408,2957680.2555041625,1719.7907592216452,-643.4544829320539,419626.4042708907,14.18768656584759,1593.127066882385,242066755.906015,99.66465379921955
