run_id,lead_hours,field,pressure_hpa,baseline_rmse,residual_rmse,rmse_reduction_pct
k2_w128_d16,6,specific_cloud_liquid_water_content,3,2.7823814575494895e-06,5.167120815046948e-06,-85.70856993842088
k2_w128_d16,6,specific_cloud_liquid_water_content,5,2.7920807944562068e-06,5.1664158485363236e-06,-85.03819297759787
k2_w128_d16,6,specific_cloud_liquid_water_content,7,2.8064188073102174e-06,5.174452081378638e-06,-84.37918345972165
k2_w128_d16,6,specific_cloud_liquid_water_content,10,2.783263464339788e-06,5.145089743287265e-06,-84.85816413746232
k2_w128_d16,6,specific_cloud_liquid_water_content,20,2.441444851051319e-06,4.5753421688507215e-06,-87.40305220822489
k2_w128_d16,6,specific_cloud_liquid_water_content,30,1.9925068141787895e-06,3.7734239330838313e-06,-89.38072915143557
k2_w128_d16,12,temperature,1,9.999619193236287,9.064540927082003,9.351138759231626
k2_w128_d16,12,temperature,2,7.804826977117117,11.234371116541544,-43.94132181891371
k2_w128_d16,12,temperature,3,5.953411010963248,10.5399585338627,-77.04066650955717
k2_w128_d16,12,temperature,5,4.361923497371268,7.068438748362289,-62.04866391219641
k2_w128_d16,12,temperature,7,3.7817316326889565,6.728017750091602,-77.90838704510934
k2_w128_d16,12,temperature,10,2.923750678288463,5.867377694462466,-100.67982328428822
k2_w128_d16,12,temperature,20,2.0794981320407144,3.486440823787484,-67.65780021961677
k2_w128_d16,12,temperature,30,1.866889260951057,3.360296083376231,-79.99439782863081
k2_w128_d16,12,geopotential,1,30479.225841463012,3531.4651106809356,88.41353409351743
k2_w128_d16,12,geopotential,2,20796.970742314566,2407.886691337063,88.42193547718055
k2_w128_d16,12,geopotential,3,15653.25640758239,1855.0583625506022,88.14905784299286
k2_w128_d16,12,geopotential,5,9606.662799877837,1383.433981755006,85.5992240950458
k2_w128_d16,12,geopotential,7,6082.266985604888,1108.9073896304074,81.76818952119503
k2_w128_d16,12,geopotential,10,2828.900572242466,909.2198117418438,67.85960522390837
k2_w128_d16,12,geopotential,20,1362.7995288193654,750.0267525840761,44.96426387571126
k2_w128_d16,12,geopotential,30,1794.1546505209546,796.677827947154,55.59592213994324
k2_w128_d16,12,geopotential,500,36.52369538620061,291.9465187193977,-699.3345570111753
k2_w128_d16,12,u_component_of_wind,1,20.036905851047297,23.170745400159124,-15.640336748640383
