run_id,train_K,eval_K,checkpoint_update,origin,valid_time,lead_hours,physical_hours,field,pressure_hpa,location,era5,baseline,residual
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,7.0,Global mean,0.0,5.672149393913982e-07,2.0002539927796504e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,7.0,New York,0.0,4.13969701185124e-07,8.816159606794827e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,7.0,Beijing,0.0,2.1873245259484975e-06,1.8404857655696105e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,10.0,Global mean,0.0,5.981833098108302e-07,1.7682727729809726e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,10.0,New York,0.0,4.3714226194424555e-07,8.965571396402083e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,10.0,Beijing,0.0,2.1876739992876537e-06,1.7747320271155331e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,20.0,Global mean,0.0,3.564915626472014e-07,-1.7458040958631628e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,20.0,New York,0.0,2.827182470355183e-07,7.610269676661119e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,20.0,Beijing,0.0,1.640408527237014e-06,8.181236808013637e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,30.0,Global mean,1.3782959129591908e-12,-1.1081955524838052e-07,-6.785852346665072e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,30.0,New York,1.4210854715202004e-14,1.1362385521351825e-07,3.20844037560164e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,30.0,Beijing,1.4210854715202004e-14,5.086808414489496e-07,-8.972365321824327e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,1.0,Global mean,0.0,8.575659972407154e-07,6.049310600536828e-08
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,1.0,New York,0.0,-4.363137122709304e-07,-1.6570534171478357e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,1.0,Beijing,0.0,1.1304048257443355e-06,5.5566579248989e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,2.0,Global mean,0.0,8.814226926456403e-07,2.712485442239073e-07
