run_id,epoch,update,field,pressure_hpa,baseline_mse,residual_mse
r2p8_w256_di32,3,1272,u_component_of_wind,975.0,0.679763151218801,0.9901059192070847
r2p8_w256_di32,3,1272,u_component_of_wind,1000.0,0.5664272328627479,0.8957214384554179
r2p8_w256_di32,3,1272,v_component_of_wind,1.0,119.05225657564668,140.3032827895122
r2p8_w256_di32,3,1272,v_component_of_wind,2.0,72.77250083844686,93.32319181776538
r2p8_w256_di32,3,1272,v_component_of_wind,3.0,52.03747801108868,74.093697134326
r2p8_w256_di32,3,1272,v_component_of_wind,5.0,32.71310249145088,46.64641548366481
r2p8_w256_di32,3,1272,v_component_of_wind,7.0,24.73936256133404,34.94545033903876
r2p8_w256_di32,3,1272,v_component_of_wind,10.0,17.121713023497065,24.253241675989734
r2p8_w256_di32,3,1272,v_component_of_wind,20.0,9.852611001660325,12.55628121169572
r2p8_w256_di32,3,1272,v_component_of_wind,30.0,8.196863597856764,11.00294052006043
r2p8_w256_di32,3,1272,v_component_of_wind,50.0,1.1579218097159134,5.387084211434695
r2p8_w256_di32,3,1272,v_component_of_wind,70.0,1.2083303110706027,43.89695954994647
r2p8_w256_di32,3,1272,v_component_of_wind,100.0,1.358649160648949,3.666843297801067
r2p8_w256_di32,3,1272,v_component_of_wind,125.0,1.464807457694483,4.491559462039332
r2p8_w256_di32,3,1272,v_component_of_wind,150.0,1.4900461818754058,3.96517051011836
r2p8_w256_di32,3,1272,v_component_of_wind,175.0,1.4851046708850926,2.3139923572540284
r2p8_w256_di32,3,1272,v_component_of_wind,200.0,1.5519517937067038,2.104134754216958
r2p8_w256_di32,3,1272,v_component_of_wind,225.0,1.7551270650424498,2.6182296670179594
r2p8_w256_di32,3,1272,v_component_of_wind,250.0,1.9538696924845378,3.7218714460064866
r2p8_w256_di32,3,1272,v_component_of_wind,300.0,2.199929283328892,4.339702736634979
r2p8_w256_di32,3,1272,v_component_of_wind,350.0,2.0805937891563597,3.370329017245892
r2p8_w256_di32,3,1272,v_component_of_wind,400.0,1.842572056304958,2.4472951903785627
r2p8_w256_di32,3,1272,v_component_of_wind,450.0,1.6110221734161638,2.1587910312967202
r2p8_w256_di32,3,1272,v_component_of_wind,500.0,1.4217242776323429,1.9011692959828066
r2p8_w256_di32,3,1272,v_component_of_wind,550.0,1.3090241281027646,1.5722057256501976
r2p8_w256_di32,3,1272,v_component_of_wind,600.0,1.2139677363163008,1.4513127515406132
r2p8_w256_di32,3,1272,v_component_of_wind,650.0,1.158326429722645,1.60843243181091
r2p8_w256_di32,3,1272,v_component_of_wind,700.0,1.1124399000017093,1.354168626164243
r2p8_w256_di32,3,1272,v_component_of_wind,750.0,1.0738952532257002,1.3177131549189591
r2p8_w256_di32,3,1272,v_component_of_wind,775.0,1.0539147950939296,1.500189971923828
r2p8_w256_di32,3,1272,v_component_of_wind,800.0,1.0374182451221952,1.740521598845413
r2p8_w256_di32,3,1272,v_component_of_wind,825.0,1.0209088774071526,1.561270215093475
r2p8_w256_di32,3,1272,v_component_of_wind,850.0,0.9962723830311568,1.4267738547112114
r2p8_w256_di32,3,1272,v_component_of_wind,875.0,0.9674795301099823,1.3758780241012574
r2p8_w256_di32,3,1272,v_component_of_wind,900.0,0.9479510768582321,1.3075522508408195
r2p8_w256_di32,3,1272,v_component_of_wind,925.0,0.9261941030263081,1.1712678313664964
r2p8_w256_di32,3,1272,v_component_of_wind,950.0,0.8840874612126564,1.138548788827719
r2p8_w256_di32,3,1272,v_component_of_wind,975.0,0.7781730204513393,1.076020837854274
r2p8_w256_di32,3,1272,v_component_of_wind,1000.0,0.6346544354846797,0.8660554030506882
r2p8_w256_di32,3,1272,specific_humidity,1.0,7.979712329664615e-13,1.0485442897875129e-13
r2p8_w256_di32,3,1272,specific_humidity,2.0,5.29086877704512e-13,4.4126522689096726e-14
r2p8_w256_di32,3,1272,specific_humidity,3.0,3.6428078088250586e-13,3.295948269432127e-14
r2p8_w256_di32,3,1272,specific_humidity,5.0,1.8613657648499995e-13,7.431749303323881e-14
r2p8_w256_di32,3,1272,specific_humidity,7.0,1.1637544761544083e-13,1.240573041029333e-13
r2p8_w256_di32,3,1272,specific_humidity,10.0,6.511209778552283e-14,1.9123520924834954e-13
r2p8_w256_di32,3,1272,specific_humidity,20.0,1.788848140050651e-14,1.8014434629369492e-13
r2p8_w256_di32,3,1272,specific_humidity,30.0,1.002146847301838e-14,2.7900283432818317e-14
r2p8_w256_di32,3,1272,specific_humidity,50.0,1.5086202651576535e-16,1.1997617628189793e-13
r2p8_w256_di32,3,1272,specific_humidity,70.0,6.555352921912525e-16,1.4783144779301362e-14
r2p8_w256_di32,3,1272,specific_humidity,100.0,7.841293617331244e-15,1.810209143821397e-14
r2p8_w256_di32,3,1272,specific_humidity,125.0,5.6395601411281255e-14,1.845786455860573e-13
r2p8_w256_di32,3,1272,specific_humidity,150.0,4.4888748201515315e-13,1.6114883422257088e-12
r2p8_w256_di32,3,1272,specific_humidity,175.0,3.1129370728082507e-12,9.581082858170508e-12
r2p8_w256_di32,3,1272,specific_humidity,200.0,1.7224567795719864e-11,3.6000547294343624e-11
r2p8_w256_di32,3,1272,specific_humidity,225.0,7.266019820229885e-11,1.2729418636009003e-10
r2p8_w256_di32,3,1272,specific_humidity,250.0,2.260142254336237e-10,4.0599425491989944e-10
r2p8_w256_di32,3,1272,specific_humidity,300.0,1.1943600377511298e-09,2.5344566994928553e-09
r2p8_w256_di32,3,1272,specific_humidity,350.0,4.1034687231203145e-09,7.255202598913035e-09
r2p8_w256_di32,3,1272,specific_humidity,400.0,1.0218196281929792e-08,1.8947338628950358e-08
r2p8_w256_di32,3,1272,specific_humidity,450.0,2.1221508844362654e-08,3.207037941754847e-08
r2p8_w256_di32,3,1272,specific_humidity,500.0,3.633391267640685e-08,4.690634128565634e-08
r2p8_w256_di32,3,1272,specific_humidity,550.0,5.825099867052357e-08,6.880233966182875e-08
r2p8_w256_di32,3,1272,specific_humidity,600.0,7.987532751446492e-08,1.0459403182064754e-07
r2p8_w256_di32,3,1272,specific_humidity,650.0,1.1199283436752987e-07,1.5800301526986604e-07
r2p8_w256_di32,3,1272,specific_humidity,700.0,1.436713131456084e-07,2.267268499314089e-07
r2p8_w256_di32,3,1272,specific_humidity,750.0,1.7886858791580598e-07,2.5831909827836807e-07
r2p8_w256_di32,3,1272,specific_humidity,775.0,1.9098260635633102e-07,2.530267518904333e-07
r2p8_w256_di32,3,1272,specific_humidity,800.0,2.0336908329278867e-07,2.6832266475572347e-07
r2p8_w256_di32,3,1272,specific_humidity,825.0,2.1300108063225765e-07,2.6939847707956117e-07
r2p8_w256_di32,3,1272,specific_humidity,850.0,2.108220350025642e-07,2.7760222520193e-07
r2p8_w256_di32,3,1272,specific_humidity,875.0,1.9530405060497688e-07,2.539540559283426e-07
r2p8_w256_di32,3,1272,specific_humidity,900.0,1.7737926227155216e-07,2.226633216299344e-07
r2p8_w256_di32,3,1272,specific_humidity,925.0,1.493074445703311e-07,1.8188160344390805e-07
r2p8_w256_di32,3,1272,specific_humidity,950.0,1.1990993478272445e-07,1.5402344017596944e-07
r2p8_w256_di32,3,1272,specific_humidity,975.0,1.1499239043863894e-07,1.3323914940946206e-07
