recipe,run_id,field,pressure_hpa,baseline_contribution,residual_contribution
current_v2,r2p8_w128_di16,specific_humidity,700.0,0.00074624712077829,0.0011763923233870921
current_v2,r2p8_w128_di16,specific_humidity,750.0,0.0007879604851365324,0.00108719030503467
current_v2,r2p8_w128_di16,specific_humidity,775.0,0.0008043809767393342,0.0010350995071010515
current_v2,r2p8_w128_di16,specific_humidity,800.0,0.0008399460724484402,0.0011031329551087921
current_v2,r2p8_w128_di16,specific_humidity,825.0,0.0008872250475365822,0.0011711815946611748
current_v2,r2p8_w128_di16,specific_humidity,850.0,0.0009320561998647515,0.0012512164828416396
current_v2,r2p8_w128_di16,specific_humidity,875.0,0.0009928074550391208,0.0012684706830456188
current_v2,r2p8_w128_di16,specific_humidity,900.0,0.001083613083695666,0.0014032123060258037
current_v2,r2p8_w128_di16,specific_humidity,925.0,0.001080297996011419,0.001331006142372906
current_v2,r2p8_w128_di16,specific_humidity,950.0,0.0010075326515181563,0.0012667289183604569
current_v2,r2p8_w128_di16,specific_humidity,975.0,0.0010256887710710988,0.0011871227659889098
current_v2,r2p8_w128_di16,specific_humidity,1000.0,0.0010157104346016851,0.0013123722980409565
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,1.0,9.669534665564703e-10,1.1335800823125406e-09
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,2.0,1.8944397578151427e-09,2.265826934170179e-09
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,3.0,2.8401289698766917e-09,3.4120028648889717e-09
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,5.0,4.692484850786202e-09,5.679935885017712e-09
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,7.0,6.60373738710938e-09,7.950592853279107e-09
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,10.0,9.536146908246988e-09,1.1322479173712011e-08
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,20.0,1.3448569052359497e-08,1.71841172057904e-08
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,30.0,1.4497600199017377e-08,2.0830378916976508e-08
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,50.0,1.4157524842878159e-08,2.7275061500133327e-08
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,70.0,1.6409772501814266e-08,3.315373623404926e-08
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,100.0,6.637588960425539e-08,9.339113217487712e-08
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,125.0,4.3496435909585587e-07,4.948122370959956e-07
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,150.0,1.4350759695259285e-06,1.620209347780188e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,175.0,2.8386499197084195e-06,3.4844797714691396e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,200.0,4.6375449381759154e-06,6.516989481351867e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,225.0,6.783962368236908e-06,1.1344819926597944e-05
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,250.0,8.342953342417317e-06,1.843576236244437e-05
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,300.0,9.557172251244103e-06,2.1177671729331437e-05
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,350.0,9.936178546976955e-06,1.7039735635294105e-05
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,400.0,8.574781567263534e-06,1.1863944303968524e-05
