run_id,lead_hours,field,pressure_hpa,baseline_rmse,residual_rmse,rmse_reduction_pct
k1_w128_d16,6,specific_humidity,550,0.00023367591673103947,0.0010622666199534593,-354.58968763825413
k1_w128_d16,6,specific_humidity,600,0.0002756110944267523,0.0013154003458791335,-377.2668344919331
k1_w128_d16,6,specific_humidity,650,0.00033029212068266264,0.0013097520077624586,-296.5435218543525
k1_w128_d16,6,specific_humidity,700,0.0003705961372817684,0.0011102304188533342,-199.57959815679715
k1_w128_d16,6,specific_humidity,750,0.00041866920900150375,0.0017852269108882457,-326.4051123190752
k1_w128_d16,6,specific_humidity,775,0.0004382651102223823,0.0026395633155281437,-502.2754843954586
k1_w128_d16,6,specific_humidity,800,0.0004527051385557892,0.0035782510120148416,-690.4153735542092
k1_w128_d16,6,specific_humidity,825,0.00046143406095093184,0.0019004485561186643,-311.85701640710806
k1_w128_d16,6,specific_humidity,850,0.00046075122437608034,0.0018988205196445137,-312.1140474918486
k1_w128_d16,6,specific_humidity,875,0.0004475458472588171,0.0034661202403850483,-674.4726627706993
k1_w128_d16,6,specific_humidity,900,0.0004229372746036305,0.0019426323916311048,-359.3192674851623
k1_w128_d16,6,specific_humidity,925,0.0003760098513022903,0.0008838628400283223,-135.06374552877008
k1_w128_d16,6,specific_humidity,950,0.0003222784591136611,0.001011169448308563,-213.756448721242
k1_w128_d16,6,specific_humidity,975,0.00031258471640125296,0.0006850417335747993,-119.15394375694221
k1_w128_d16,6,specific_humidity,1000,0.00031323101496970535,0.00055626731962108,-77.59011497468737
k1_w128_d16,6,specific_cloud_ice_water_content,1,1.466035147732589e-06,1.6142121307735832e-06,-10.10732814081361
k1_w128_d16,6,specific_cloud_ice_water_content,2,1.4513668724636064e-06,1.6092532288869972e-06,-10.878459431514266
k1_w128_d16,6,specific_cloud_ice_water_content,3,1.4498182097670895e-06,1.605561425493788e-06,-10.742258213994882
k1_w128_d16,6,specific_cloud_ice_water_content,5,1.4418084047152534e-06,1.6045825470919145e-06,-11.289582016884392
k1_w128_d16,6,specific_cloud_ice_water_content,7,1.4457543483121473e-06,1.6105531879222687e-06,-11.398813346300262
k1_w128_d16,6,specific_cloud_ice_water_content,10,1.4557463624633837e-06,1.6065588291660683e-06,-10.35980378116712
k1_w128_d16,6,specific_cloud_ice_water_content,20,1.2331259002909328e-06,1.4055153513663278e-06,-13.979874320596375
k1_w128_d16,6,specific_cloud_ice_water_content,30,9.865127650158664e-07,1.360314414203082e-06,-37.89121260698573
k1_w128_d16,6,specific_cloud_ice_water_content,50,8.090051523409126e-07,1.271138172691534e-06,-57.123618930411915
k1_w128_d16,6,specific_cloud_ice_water_content,70,7.098809554040918e-07,1.23153224999447e-06,-73.48433432665256
k1_w128_d16,6,specific_cloud_ice_water_content,100,1.0793708614679525e-06,2.0090669068420956e-06,-86.13314279299233
k1_w128_d16,6,specific_cloud_ice_water_content,125,2.6172017509145215e-06,3.1691938549416686e-06,-21.090926743964843
